stock,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe
TGLS,37.209999084472656,1,0.8225419664268585,0.1774580335731415,0.9491255961844197,0.23494983277591974,0.5594842260568774,0.8799556558704285
TJX,88.0,0,0.1850519584332534,0.8149480415667466,0.7873608903020668,0.4180602006688963,0.5756304872448805,1.1021829286521632
TMUS,154.0,1,0.9976019184652278,0.0023980815347721673,0.8879173290937997,0.7015050167224081,0.7776596677042261,1.5202635496105932
TPX,43.45000076293945,1,0.8341326938449241,0.16586730615507594,0.9733704292527822,0.43687290969899667,0.5074680322889367,1.2315343160443457
TREX,71.86000061035156,1,0.9584332533972821,0.04156674660271786,0.9050079491255962,0.5551839464882943,0.6878219537245781,1.7257701203236968
TRGP,87.75,0,0.4856115107913669,0.5143884892086331,0.8243243243243243,0.5978260869565217,0.40091981190727227,0.9714903732748781
TSCO,207.19000244140625,1,0.658273381294964,0.34172661870503596,0.9662162162162162,0.4013377926421405,0.5584109193628968,0.9207814468503629
TSLA,238.72000122070312,1,0.5627498001598721,0.4372501998401279,0.5409379968203497,0.3524247491638796,0.8645437971832257,2.080089493229937
TTC,82.01000213623047,1,0.2106314948041567,0.7893685051958433,0.6681240063593005,0.03302675585284281,0.6012751619133667,1.5223672693149963
TTD,68.33000183105469,1,0.23722222222222222,0.7627777777777778,0.3737596471885336,0.1757396449704142,0.9524108924964056,2.116617477408348
TTWO,156.75999450683594,1,0.8892885691446842,0.11071143085531576,0.6530206677265501,0.5,0.8188951409518057,2.173770160368433
TWLO,68.37999725341797,1,0.9543501611170784,0.04564983888292162,0.908315565031983,0.6718036529680366,0.4977823122799145,1.095849760895139
TYL,410.8699951171875,1,0.5843325339728217,0.4156674660271783,0.4809220985691574,0.4180602006688963,0.6230765059589091,2.0992317443830504
UI,110.72000122070312,1,0.24820143884892087,0.7517985611510791,0.35532591414944353,0.05434782608695652,0.48420879745582157,1.720726175432363
ULTA,481.4200134277344,1,0.9972022382094324,0.0027977617905675656,0.9844992050874404,0.7132107023411371,0.6267245909492924,1.210061093676848
UNH,550.260009765625,1,0.7306155075939249,0.2693844924060751,0.9364069952305246,0.7642140468227425,0.9819391206932347,2.09031349614765
UPST,33.040000915527344,1,0.8485675306957708,0.15143246930422916,0.856760374832664,0.5393258426966292,0.6690313589776069,2.1959343909552276
URI,475.5,1,0.5547561950439648,0.4452438049560352,0.5751192368839427,0.5137959866220736,0.6685145042027805,1.9334389711073618
UVE,16.770000457763672,1,0.7338129496402878,0.26618705035971224,0.9602543720190779,0.7571070234113713,0.3761430671077718,0.5570214356448322
VEEV,177.9600067138672,1,0.2753796962430056,0.7246203037569944,0.45548489666136727,0.15091973244147158,0.5707755624126772,1.6989193669942013
VRTS,202.05999755859375,1,0.7298161470823341,0.2701838529176659,0.955087440381558,0.592391304347826,0.2503906934298393,1.4691550546502765
VRTX,354.1499938964844,0,0.3137490007993605,0.6862509992006395,0.35771065182829886,0.2838628762541806,0.6284885514356237,1.705340597328342
VTRS,9.609999656677246,1,0.8173461231015188,0.18265387689848123,0.9924483306836248,0.5919732441471572,-0.18136141958909746,0.5129872662365808
WIX,105.45999908447266,1,0.9244604316546763,0.07553956834532372,0.8934817170111288,0.7374581939799331,0.5461998839800062,1.6222171240757906
WMT,155.72999572753906,0,0.1914468425259792,0.8085531574740208,0.8406200317965024,0.18979933110367894,0.52663650656457,0.6664396871103837
ZBRA,234.36000061035156,1,0.7166266986410871,0.2833733013589129,0.8036565977742448,0.22366220735785952,0.5831818090030462,2.8056795999774176
ZM,68.72000122070312,1,0.8360797918473547,0.1639202081526453,0.7463581833761782,0.7209971236816874,0.34091895797083643,-0.03954574679044958
